_id,date,text,class
1374343690915868673,Tue Mar 23 12:54:04 +0000 2021,"@maddie4k I've actually seen things like this in the UK and was almost a victim of this madness. As a 16-year-old girl, this needs to stop. I'm fighting with you! :)",happy
1374344110329499653,Tue Mar 23 12:55:44 +0000 2021,Lovely! And very true :),happy
1374345199527297025,Tue Mar 23 13:00:04 +0000 2021,"New York City, Chicago, Miami-Dade, Baltimore among school districts deploying Delos’ advanced air purification NEW YORK--(BUSINESS WIRE)--Delos, a wellness real estate and technology company, has been ... #cannabis #marijuana #weed Please retweet :) https://t.co/spD2iAWKud",happy
1374345626088058882,Tue Mar 23 13:01:46 +0000 2021,"Anyone having issues with accessing or using the Module Sign Up service please contact your department they will be able to assist. Contact information for each department can be found here - https://t.co/4iwKYWfyCz Thank you, IT Service Desk Team :)",happy
1374345705490374658,Tue Mar 23 13:02:04 +0000 2021,"If anyone is free and willing would it be possible to for you to take part in an interview for my dissertation regarding public perceptions of sentencing and prison conditions in England and Wales. You do not need any kind of knowledge, just your own opinion. Thanks :)",happy
1374345715099430920,Tue Mar 23 13:02:07 +0000 2021,i am :) cameron https://t.co/E3k4QRHZ5x,happy
1374345735848800264,Tue Mar 23 13:02:12 +0000 2021,@LouLTots a little bit of the history from the Priaulx Library :) https://t.co/FyvnablV2D,happy
1374345977574883330,Tue Mar 23 13:03:09 +0000 2021,For the digital / design / gov delivery gang: A post about co-design and how we're using it in the programme I work on in Defra (a talk I did recently for @GDSTeam's international event) h/t @DfEDigital @Emmastace for references to DfE's earlier post on being user-centred :),happy
1374346038027427847,Tue Mar 23 13:03:24 +0000 2021,My lovely Twitter Shumwari's (friends in Shona) If you are looking to increasing your sales using an alternative payment method then this is definitely for YOU. Book your place today and ask our Experts :-) https://t.co/leRGDYKjHF,happy
1374346295272423429,Tue Mar 23 13:04:25 +0000 2021,"Mistress Trivia Tuesday :-) What Mistress was interviewed by https://t.co/02v4tIQkAc in 2019 and said Her Motto to live by would be. ""We all deserve to be happy, we are only here once, make the most of life!""? @NubianMatriarch @mistresstess1 @MsLorraineLDN @MistressVixen",happy
1374346497001730050,Tue Mar 23 13:05:13 +0000 2021,"Hi friends! I am looking for my next Graphic Design, Illustration, Art Direction work opportunity - 12 yrs experience. London based, can work remotely. Looking for a talented Creative? :) I'm available. DM for full portfolio #graphicdesigner #shareme #creative #freelance #london https://t.co/LYesYqDq7r",happy
1374346758596263938,Tue Mar 23 13:06:16 +0000 2021,Lets go :) 7pm uk time #twitchstreaming #gaming #dinosaur #gamer #tuesdayvibe @BlazedRTs @NemoRETWEET5 @FatalRTs @Mighty_RTs @Rapid__RTs @Retweet_Twitch @TwitchTVGlobal @Twitch_RT @TwitchSharing,happy
1374347047839670274,Tue Mar 23 13:07:24 +0000 2021,@maoxian @davemabe lol after 8 years can assure thats wildly exaggerated but ok new england ride instead :),happy
1374347177447817219,Tue Mar 23 13:07:55 +0000 2021,"Hi friends! I am looking for my next Graphic Design, Illustration, Art Direction work opportunity - 12 yrs experience. London based, can work remotely. Looking for a talented Creative? :) I'm available. DM for full portfolio #graphicdesigner #shareme #creative #freelance #london https://t.co/tZMdlAxgHl",happy
1374348200111394818,Tue Mar 23 13:11:59 +0000 2021,(UK) https://t.co/PNAEjZbGtU download the pre beta now :) https://t.co/15AgzrfamS,happy
1374348851306500105,Tue Mar 23 13:14:34 +0000 2021,@TheSoleWomens @thesolesupplier Uk 8.5 ty :),happy
1374349149815050243,Tue Mar 23 13:15:46 +0000 2021,Hi..Participants needed.... for my PhD I am looking at the impact of a type 1 diabetes diagnosis during adolescence... if you are/know a young person aged 16 to 24 (diagnosed after 11) please get in touch ... or if you are a parent of one :) T.corbett@bolton.ac.uk,happy
1374349206530449412,Tue Mar 23 13:15:59 +0000 2021,"#pubrooms supporting great British Pubs :) RT @JasminesArt1: Royal Ballet Acrylic on canvas 60 x 60 cm Ready varnished Sheffield, England #ArtistOnTwitter #exhibition… https://t.co/sZLX4UYfLV",happy
1374349309521620992,Tue Mar 23 13:16:24 +0000 2021,"@Elysium_Amit hello! Men’s grooming you say? How about an @EarthConscious_ natural deodorant made here on the Isle of Wight - it really works, and is plastic-free :-) https://t.co/m9FXRB5PH0 let us know what you need :) https://t.co/qeQvT73Xxj",happy
1374349544314572800,Tue Mar 23 13:17:20 +0000 2021,"@JoLeonard___x Hi Jo, our customer support team have responded to your email :)",happy
1374349636803174402,Tue Mar 23 13:17:42 +0000 2021,@iamkarlrock really enjoying the YouTube videos :-),happy
1374349679622819843,Tue Mar 23 13:17:52 +0000 2021,@ellygriffiths Ooh! V exciting to see them arriving. Hope you love it :),happy
1374349771914293252,Tue Mar 23 13:18:14 +0000 2021,I just logged out :) I'll look at it....two minutes.,happy
1374349852348461056,Tue Mar 23 13:18:33 +0000 2021,"Upcoming online support groups and cafes are now on our website up until the end of June - https://t.co/BwR6z8MrWa If you have not joined us for one yet, do consider giving it a go. We're all becoming pros at online chats now and you will receive a warm welcome :) https://t.co/y4SrqdGdpd",happy
1374349871252189190,Tue Mar 23 13:18:38 +0000 2021,"And this my friends, is my home office :) #homeoffice #homeofficedecor #cottageinterior #cottageliving #ikea #aranwool #peacelily #carnation @ County Mayo https://t.co/RitIEoCcBx",happy
1374350071106535425,Tue Mar 23 13:19:25 +0000 2021,New Pin-Up Scribbles! I just *had* to draw this when I saw the photo :) @JordynneGrace Copic markers on A5(ish) Bristol Board See my pinned tweet for info on commissions and original work for sale #art #artwork #commissions #pinups https://t.co/jOodEYcsI0,happy
1374350558040051717,Tue Mar 23 13:21:21 +0000 2021,@England Give us some Sammy J pics please Admin :),happy
1374350626000371715,Tue Mar 23 13:21:38 +0000 2021,and american cissies get it and ship it to the uk for me :),happy
1374351847234867210,Tue Mar 23 13:26:29 +0000 2021,Let's hope some can spot humour too :-),happy
1374351915530731524,Tue Mar 23 13:26:45 +0000 2021,To read more go to https://t.co/4MFZoh5PFX Thanks @beertoday :),happy
1374352802043076608,Tue Mar 23 13:30:16 +0000 2021,Ballyfermot in bloom. @ Ballyfermot :) X https://t.co/QXLEK3fKSN,happy
1374352809190170624,Tue Mar 23 13:30:18 +0000 2021,@fog333Boro https://t.co/XfPYyLptks please check this petition out :),happy
1374352859102334982,Tue Mar 23 13:30:30 +0000 2021,@davidareader @JonS_WF1 MQTT had a QoS option for just that :-),happy
1374352923224866817,Tue Mar 23 13:30:45 +0000 2021,"@Becca2400 Lol I live in the West coast of Scotland, that's my only defence :)",happy
1374353032218095624,Tue Mar 23 13:31:11 +0000 2021,@srtcd424 ASN.1 is definitely a 4 letter work around here :-),happy
1374353073817128962,Tue Mar 23 13:31:21 +0000 2021,@brazilent Check this petition out! :) share if you can https://t.co/XfPYyLptks,happy
1374353587556470784,Tue Mar 23 13:33:24 +0000 2021,@fight_director A beautiful place Fintry. Gorgeous photo! Got married there :) up at culcreuch castle right on our door step are the beautiful things / places we often take for granted #Scotland,happy
1374353629109436422,Tue Mar 23 13:33:34 +0000 2021,"@sueverity I would not go that far, it's definitely been a labour of love I'm just so relieved it's out there now and I can move on :-) x",happy
1374353895619764226,Tue Mar 23 13:34:37 +0000 2021,Interesting!! I never believed any supernatural stuff - then I moved to Edinburgh and that changed. Orkney is on my list!! :),happy
1374354065757462528,Tue Mar 23 13:35:18 +0000 2021,i wish the police a very d*e (:,happy
1374354252303372290,Tue Mar 23 13:36:02 +0000 2021,"@Simply_Railway @LNER they do indeed, cannot wait to do the Highland Chieftain from King Cross to Inverness when we can on one :)",happy
1374354318686629890,Tue Mar 23 13:36:18 +0000 2021,"@icaito @stephaniequilao @bern_identity @ComediansResist Got it — that’s an incredible price for reusable masks! Also, I think you misunderstood me — “my” hardware store is the one I frequent, not one I own. :) Maybe that phrasing is a New York thing?",happy
1374354444343738369,Tue Mar 23 13:36:48 +0000 2021,So true - Britain is amazing and beautiful!! :),happy
1374354515428663301,Tue Mar 23 13:37:05 +0000 2021,Communist guild of India and PM will throw it in far distant garbage :),happy
1374355833786568706,Tue Mar 23 13:42:19 +0000 2021,"100 up in 12 overs! without losing a single wicket! just shows how good england are in 50-overs cricket. wo not hurt if i say 'white-ball cricket', but do not want to :) #indvseng",happy
1374356269985841156,Tue Mar 23 13:44:03 +0000 2021,"price drop on all the playset parts, lets hope we can find them a new home! :)  #micromachinesplayset #micromachinessupertoolboxcity #micromachinesplaysetparts #micromachinesforsale #manymicromachines ",happy
1374356365536202756,Tue Mar 23 13:44:26 +0000 2021,@kp24 and england is again winning the first game to lose the series :),happy
1374356531831926785,Tue Mar 23 13:45:06 +0000 2021,@chanamessinger looks like london :),happy
1374356533224611842,Tue Mar 23 13:45:06 +0000 2021,congratulations to authors! some great historical sociology titles in the shortlist :-),happy
1374356680675262468,Tue Mar 23 13:45:41 +0000 2021,@strollingrabbi @goldsteinvoices my point was not things are perfect just the wording was incorrect. alp actually had a woman prime minister you know! :) being a woman should not ensure you easily get in to parliament or become pm - but my view is it should not stop you either.,happy
1374356752821583874,Tue Mar 23 13:45:58 +0000 2021,@robgeorgejack @seumaseoin @welt @jaroslavtvrdik my ancestors were slaves up untill 1860. i believe in uk the slavery was forbidden about that time. most of our ancestors were slaves. and for afroamerican (as it is clearly about them). i recommend you to watch wars in africa during 16+ centuries. they are to blame :),happy
1374356844433530883,Tue Mar 23 13:46:20 +0000 2021,"@historicfirearm @marksimner @i_w_m @royal_armouries @explosionmuseum it has. very happy to chat offline about it, if you want to dm me :)",happy
1374356909071949829,Tue Mar 23 13:46:36 +0000 2021,looks like england is going to finish the match in 35 overs :),happy
1374357042786299907,Tue Mar 23 13:47:07 +0000 2021,"what clean hitting by bairstow. not letting india breathe even a bit. england want to finish this before dew comes on, so that no one blames the dew for india's bowling :-) #indveng",happy
1374357248072417281,Tue Mar 23 13:47:56 +0000 2021,"deets, deets, deets and more deets hopkins, your art, coffee, banter, laughs and frolics.....that's what you can expect from today :) see ya soon my lovelies  2pm uk time. ",happy
1374357446102237186,Tue Mar 23 13:48:44 +0000 2021,congratulations taylor alden! the new website looks fabulous :),happy
1374357520534417408,Tue Mar 23 13:49:01 +0000 2021,gmail is stuck in a crash loop along with bunch of other serious apps... @twitter however is just fine :),happy
1374357542621609989,Tue Mar 23 13:49:07 +0000 2021,@bufferedstart england is going to finish the match in 35 overs :),happy
1374357778291064837,Tue Mar 23 13:50:03 +0000 2021,"@steve6978 @band_parade hi steve , please can you have a listen to my new track not quite manchester ... up the road born in lancaster but not too far :) ",happy
1374357866220507138,Tue Mar 23 13:50:24 +0000 2021,based! thanks for sharing andy :),happy
